,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
144,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD511R-0-CN33899
145,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD511R-0-CN33899
146,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD511R-0-CN33899
147,LI,2022-03-27 18:34:00+00:00,Montaje,HUBU-HOS.ORL.BD511R-0,0,HUBU-HOS.ORL.BD511R,HUBU-HOS.ORL.BD511R-0-CN33899
148,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.ORL.BD511R-0,0,HUBU-HOS.ORL.BD511R,HUBU-HOS.ORL.BD511R-0-CN33899
149,LI,2022-03-27 18:34:00+00:00,Producción montada,HUBU-HOS.ORL.BD511R-0,0,HUBU-HOS.ORL.BD511R,HUBU-HOS.ORL.BD511R-0-CN33899
150,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.ORL.BD511R-0,0,HUBU-HOS.ORL.BD511R,HUBU-HOS.ORL.BD511R-0-CN33899
151,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.JG523R-0-CN33895
152,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.JG523R-0-CN33895
153,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.JG523R-0-CN33895
154,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.JG523R-0-CN33895
155,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.URO.JG523R-0,0,HUBU-HOS.URO.JG523R,HUBU-HOS.URO.JG523R-0-CN33895
156,LI,2022-03-27 18:32:00+00:00,Producción montada,HUBU-HOS.URO.JG523R-0,0,HUBU-HOS.URO.JG523R,HUBU-HOS.URO.JG523R-0-CN33895
157,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.URO.JG523R-0,0,HUBU-HOS.URO.JG523R,HUBU-HOS.URO.JG523R-0-CN33895
158,LI,2022-03-27 18:32:00+00:00,Montaje,HUBU-HOS.URO.JG523R-0,0,HUBU-HOS.URO.JG523R,HUBU-HOS.URO.JG523R-0-CN33895
159,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,CONT-PARTOS-3,3,CONT-PARTOS,HUBU-QUI.PAR.BB175R-0-CN33865
160,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,CONT-PARTOS-3,3,CONT-PARTOS,HUBU-QUI.PAR.BB175R-0-CN33865
161,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,CONT-PARTOS-3,3,CONT-PARTOS,HUBU-QUI.PAR.BB175R-0-CN33865
162,ER,2022-03-27 08:07:00+00:00,Cargado en carro L+D,CONT-PARTOS-3,3,CONT-PARTOS,HUBU-QUI.PAR.BB175R-0-CN33865
163,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HUBU-QUI.PAR.BB175R-0,0,HUBU-QUI.PAR.BB175R,HUBU-QUI.PAR.BB175R-0-CN33865
164,ER,2022-03-27 09:21:00+00:00,Producción montada,HUBU-QUI.PAR.BB175R-0,0,HUBU-QUI.PAR.BB175R,HUBU-QUI.PAR.BB175R-0-CN33865
165,ER,2022-03-27 09:21:00+00:00,Montaje,HUBU-QUI.PAR.BB175R-0,0,HUBU-QUI.PAR.BB175R,HUBU-QUI.PAR.BB175R-0-CN33865
166,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HUBU-QUI.PAR.BB175R-0,0,HUBU-QUI.PAR.BB175R,HUBU-QUI.PAR.BB175R-0-CN33865
167,ER,2022-03-27 07:34:00+00:00,Cargado en carro L+D,CONT-URGENCIAS-2,2,CONT-URGENCIAS,HUBU-QUI.GIN.JG524R-0-CN33861
168,ER,2022-03-27 08:53:00+00:00,Carga L+D liberada,CONT-URGENCIAS-2,2,CONT-URGENCIAS,HUBU-QUI.GIN.JG524R-0-CN33861
169,ER,2022-03-27 07:34:00+00:00,Carga L+D iniciada,CONT-URGENCIAS-2,2,CONT-URGENCIAS,HUBU-QUI.GIN.JG524R-0-CN33861
170,ER,2022-03-27 07:32:00+00:00,Entrada Material Sucio,CONT-URGENCIAS-2,2,CONT-URGENCIAS,HUBU-QUI.GIN.JG524R-0-CN33861
171,ER,2022-03-27 10:32:00+00:00,Carga de esterilizador liberada,HUBU-QUI.GIN.JG524R-0,0,HUBU-QUI.GIN.JG524R,HUBU-QUI.GIN.JG524R-0-CN33861
172,ER,2022-03-27 09:00:00+00:00,Producción montada,HUBU-QUI.GIN.JG524R-0,0,HUBU-QUI.GIN.JG524R,HUBU-QUI.GIN.JG524R-0-CN33861
173,ER,2022-03-27 09:01:00+00:00,Composición de cargas,HUBU-QUI.GIN.JG524R-0,0,HUBU-QUI.GIN.JG524R,HUBU-QUI.GIN.JG524R-0-CN33861
