r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-QUI.ORL-3,1144,1,1010.0
CONT-QUI.NEUR-3,1175,1,1137.0
CONT-QUI.CG-3,1315,1,862.0
CONT-QUI.OFT-1,1205,1,-99.0
CONT-QUI.GINE-1,212,1,-1194.0
HUBU-CCEE.DER.001-24,1,1,
EQP-CCEE.GIN.001-2,1,1,
CONT-ELECT-2,1434,1,1417.0
CONT-CCEE.GINE-7,0,1,0.0
EQP-CCEE.GIN.001-3,2,1,
CONT-CCEE.GINE-7,1429,1,1429.0
CONT-QUI.GINE-1,73,1,-139.0
HNB-CPL.003-5,1,1,
CONT-QUI.URO-3,23,1,-99.0
CONT-QUI.CV-1,214,1,-1198.0
CONT-URGENCIAS-2,21,1,-1415.0
CONT-CCEE.ORL-1,1220,1,1027.0
CONT-HOS.GINE-1,1433,1,4.0
CONT-QUI.URO-3,1229,1,1206.0
CONT-QUI.CPL-2,501,1,232.0
CONT-QUI.TRA-2,60,1,22.0
CONT-QUI.GINE-1,1,1,-72.0
CONT-QUI.OFT-1,170,1,-1035.0
CONT-QUI.CV-5,175,1,22.0
CONT-QUI.OFT-2,0,1,-37.0
CONT-PARTOS-3,654,1,640.0
CONT-HOS.ORL-2,1437,1,1412.0
CONT-QUI.CPL-2,1267,1,766.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-HDINA-1,1,1,1.0
CONT-RAD-1,1,1,0.0
CONT-CCEE.GINE-1,1,1,
CONT-CCEE.ORL-1,5,1,-1215.0
CONT-QUI.TRA-1,88,1,-53.0
HNB-CV.007-3,23,1,
HGY-QUI.NEUR.CAJA-0,1414,1,
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,120,1,120.0
CONT-QUI.TRA-2,67,1,7.0
CONT-URGENCIAS-2,1110,1,1089.0
CONT-QUI.CG-2,180,1,-28.0
CONT-QUI.CV-3,217,1,-1188.0
CONT-QUI.TRA-2,1161,1,1094.0
CONT-QUI.TRA-2,1,1,-1160.0
CONT-QUI.CPL-2,1431,1,164.0
HNB-GIN.005-7,1,1,
CONT-QUI.CPL-2,107,1,-1324.0
CONT-CCEE.URO-3,3,1,-7.0
CONT-HOS.URPA-2,14,1,
CONT-CCEE.GINE-1,1,1,0.0
CONT-QUI.CPL-1,1223,1,1043.0
CONT-QUI.URO-3,375,1,-854.0
CONT-QUI.CV-5,1115,1,940.0
CONT-QUI.CPL-2,1239,1,1132.0
TRAN-QUI.TRA.EXATECH-1,0,1,
TRAN-QUI.TRA.EXATECH-1,0,1,0.0
TRAN-QUI.TRA.EXATECH-1,0,1,0.0
TRAN-QUI.TRA.EXATECH-1,0,1,0.0
CONT-QUI.CPL-2,64,1,-1175.0
CONT-QUI.CP-3,1080,1,1068.0
CONT-QUI.NEUR-4,1392,1,
HNB-OFT.010-4,1,1,
HNB-ORL.004-1,1,1,
HNB-OFT.010-9,1,1,
HNB-OFT.006-3,1,1,
EQP-CCEE.GIN.002-2,0,1,-1436.0
EQP-CCEE.GIN.002-2,0,1,0.0
EQP-CCEE.GIN.002-2,0,1,0.0
CONT-QUI.ORL-3,1,1,-1143.0
HUBU-ORL.001-4,1,1,
HNB-CG.007-7,1,1,
CONT-CCEE.GINE-7,2,1,-1427.0
CONT-NEONATOS-1,4,1,0.0
CONT-QUI.GINE-1,1428,1,1427.0
EQP-QUI.GINE.006-2,54,1,50.0
EQP-QUI.GINE.008-2,47,1,
EQP-QUI.GINE.006-3,2,1,
EQP-QUI.GINE.007-1,2,1,
EQP-CCEE.GIN.006-5,1,1,-1427.0
EQP-CCEE.GIN.006-4,1,1,-1431.0
EQP-CCEE.GIN.006-3,1,1,
EQP-CCEE.GIN.006-2,1,1,
EQP-CCEE.GIN.005-5,1,1,0.0
CONT-QUI.GINE-1,45,1,-1383.0
HNB-OFT.010-8,9,1,
CONT-QUI.CV-5,303,1,-812.0
CONT-QUI.TRA-1,350,1,262.0
CONT-URGENCIAS-2,2,1,-1108.0
CONT-QUI.ORL-1,967,1,-340.0
CONT-QUI.TRA-1,1155,1,805.0
CONT-QUI.ORL-4,1351,1,1292.0
